SMID,PID,PQTY,UNITS,SALES,PROFIT,CURRENCY,DATE OF TRANSACTION
S1,P1,8,KG,8000,80,INR,20140808
S2,P2,2,MG,5000,600,GBP,20140603
S3,P3,3,G,3000,3300,USD,20140604
S4,P4,5,KG,5000,200,USD,20140606
S5,P5,2,LB,2000,100,SGD,20140607
S6,P6,40,KG,6000,666,INR,20140608
S7,P7,2,MG,11000,2255,INR,20140609
S8,P8,10,KG,20000,554,USD,20140610
S9,P9,25,KG,55555,222,GBP,20140601
S10,P10,100,KG,3450,111,GBP,20140602
S1,P1,8,KG,8000,80,INR,20140808
S2,P2,2,MG,5000,600,GBP,20140603
S3,P3,3,G,3000,3300,USD,20140604
S4,P4,5,KG,5000,200,USD,20140606
S5,P5,2,LB,2000,100,SGD,20140607
S6,P6,40,KG,6000,666,INR,20140608
S7,P7,2,MG,11000,2255,INR,20140609
S8,P8,10,KG,20000,554,USD,20140610
S9,P9,25,KG,55555,222,GBP,20140601
S10,P10,100,KG,3450,111,GBP,20140602
